Descriptor,Wins,Losses,Ties,Points,Rank
DenseNet121,32,0,40,104,19.0
ConvNeXt_base,28,0,44,100,18.0
Swin_V2_s,25,0,47,97,17.0
Morphological,19,0,53,91,16.0
HOG,14,0,58,86,15.0
EfficientNet_V2_s,13,0,59,85,14.0
ResNet50,12,2,58,82,13.0
FDTA,7,0,65,79,12.0
LBP-8-2-nri-uniform,8,2,62,78,11.0
MobileNet_V2,7,3,62,76,10.0
Gabor,3,12,57,63,8.5
LBP-8-1-nri-uniform,0,9,63,63,8.5
intensity-histogram,0,14,58,58,7.0
DCF,0,15,57,57,6.0
intensity-based,0,19,53,53,5.0
GLSZM,0,21,51,51,4.0
GLCM,0,22,50,50,3.0
NGTDM,0,24,48,48,2.0
GLRLM,0,25,47,47,1.0
